,distance_from_soma,GFP_brightness_median,GFP_brightness_q75,GFP_brightness_q25,soma_targeted
0,-10.0,0.99731745329459,,,False
1,0.0,0.5917466846831765,0.7448591164735472,0.523638697230958,False
2,10.0,0.4545900247527712,0.5265883028208591,0.2861954472439123,False
3,20.0,0.40739633531435215,0.5044662608966003,0.19475767395697566,False
4,30.0,0.3941231101597968,0.5723071894643278,0.1859088571872718,False
5,40.0,0.3852742933900932,0.4793946133824401,0.20065688513677785,False
6,50.0,0.2820380977435517,0.5737819922592782,0.1829592515973708,False
7,60.0,0.3720010682355379,0.6401481180320551,0.1977072795468766,False
8,70.0,0.4427916023931664,0.6725937795209681,0.13576556215895152,False
9,80.0,0.2525420418445399,0.5029914581016497,0.1003702950801375,False
10,90.0,0.23631921110008336,0.5339623167956123,0.0959458866952856,False
11,100.0,0.1861759160717631,0.4602221770480823,0.06792463359122447,False
0,-10.0,1.0015074914716318,,,True
1,0.0,0.28763161371616475,0.3399437620245671,0.21858813082729034,True
2,10.0,0.13318493404899878,0.16826994228207792,0.08835281929850547,True
3,20.0,0.09121420524760147,0.14755068817522554,0.032114843865621134,True
4,30.0,0.0684734466278456,0.12091164718070126,0.04691431108480093,True
5,40.0,0.0605414924305625,0.12979132751220934,0.02323516353411259,True
6,50.0,0.03337023084834545,0.06467367174781735,0.008435696314932795,True
7,60.0,0.028388832891605542,0.05283409797247307,0.017315376646440672,True
8,70.0,0.03673629263542066,0.045434364362883166,-0.00027077889549298456,True
9,80.0,0.009555693849910618,0.02619505697794877,-0.0008123366864787317,True
10,90.0,0.007543526540299661,0.014355483202604713,-0.0056457399710267975,True
11,100.0,0.0010915190649349869,,,True
